city_id,city,country,Code,Population,Time_Zone,Latitud,Logitud,East,South,North,West
2643743,London,United Kingdom,GB,8961989,0,51.50853,-0.12574,0.2811882683122086,51.297523767519486,51.68293389615384,-0.4991631942360928
2950159,Berlin,Germany,DE,3426354,3600,52.52437,13.41053,13.7604692835498,52.3382418348765,52.6749171487584,13.0883332178678
3117735,Madrid,Spain,ES,3255944,3600,40.4165,-3.70256,-3.5180508952556004,40.31206430903497,40.64327066671067,-3.8889619895475094
2988507,Paris,France,FR,2138551,3600,48.85341,2.3488,2.4672595671625035,48.81575714610159,48.90165177525077,2.2242245702250822
683506,Bucharest,Romania,RO,1877155,7200,44.43225,26.10626,26.356068772048133,44.254409727738995,44.61008551091711,25.856455642014367
3054643,Budapest,Hungary,HU,1741041,3600,47.49835,19.04045,19.294730808064532,47.32711602928824,47.66958397071176,18.786169191935468
2911298,Hamburg,Germany,DE,1739117,3600,53.55073,9.99302,10.32527718680763,53.39508508510774,53.73943730358849,9.730130859481674
756135,Warsaw,Poland,PL,1702139,3600,52.22977,21.01178,21.2711512942955,52.0978496125492,52.368153944595,20.8516883368428
2761369,Vienna,Austria,AT,1691468,3600,48.20849,16.37208,16.577514130310014,48.11790334229859,48.3226666526653,16.18183037911802
3128760,Barcelona,Spain,ES,1621537,3600,41.38879,2.15899,2.2292197544555457,41.31695582687022,41.46828176513528,2.0524698417286786
2673730,Stockholm,Sweden,SE,1515017,3600,59.32938,18.06871,18.415024110541545,59.15405623276393,59.48572045807141,17.77622321715004
792680,Belgrade,Serbia,RS,1273651,3600,44.80401,20.46513,20.672094238254452,44.65753139708662,44.95048147244717,20.258157836940946
2867714,Munich,Germany,DE,1260391,3600,48.13743,11.57549,11.7230825332677,48.0615537735515,48.2481457759892,11.360877208388
3169070,Rome,Italy,IT,2318895,3600,41.89193,12.51133,12.726343428495486,41.765760675629664,42.05054833023755,12.334658845099607
2735943,Porto,Portugal,PT,249633,0,41.14961,-8.61099,-8.524779316156721,41.084751876546434,41.21446012345356,-8.69720668384328
